PLAYER,Mat,Inns,NO,2019_Runs,HS,Avg,BF,SR,100,50,4s,6s,HS_N,Runs_from_boundary,Runs_from_running,Runs_per_Match,Runs_per_Innings,4s_per_Match,4s_per_Innings,6s_per_Match,6s_per_Innings,50+_score,50+_per_Match,50+_per_Innings,number_of_outs,batting_per_match,SR_without_bounadry,6_to_4_ration,50_to_100_conversion_rate,Atleast_one_50+_score,2020_Runs
Ajinkya Rahane,14,13,1,393,105,32.75,285,137.89,1,1,45,9,1,234,159,28.071428571428573,30.23076923076923,3.2142857142857144,3.4615384615384617,0.6428571428571429,0.6923076923076923,2,0.14285714285714285,0.15384615384615385,12,0.9285714285714286,0.6853448275862069,0.1956521739130435,0.3333333333333333,1,384.1188252115417
Suresh Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9,0,234,149,22.529411764705884,22.529411764705884,2.6470588235294117,2.6470588235294117,0.5294117647058824,0.5294117647058824,3,0.17647058823529413,0.17647058823529413,16,1.0,0.5708812260536399,0.1956521739130435,0.0,1,439.99792438845884
Parthiv Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10,0,252,121,26.642857142857142,26.642857142857142,3.4285714285714284,3.4285714285714284,0.7142857142857143,0.7142857142857143,2,0.14285714285714285,0.14285714285714285,14,1.0,0.5734597156398105,0.20408163265306123,0.0,1,389.4060435310017
Prithvi Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9,0,234,119,22.0625,22.0625,2.8125,2.8125,0.5625,0.5625,2,0.125,0.125,16,1.0,0.5639810426540285,0.1956521739130435,0.0,1,371.33986142386834
Manish Pandey,12,11,3,344,83,43.0,263,130.79,0,3,34,6,1,172,172,28.666666666666668,31.272727272727273,2.8333333333333335,3.090909090909091,0.5,0.5454545454545454,3,0.25,0.2727272727272727,8,0.9166666666666666,0.7678571428571429,0.17142857142857143,0.0,1,367.6375166557824
Nitish Rana,14,11,1,344,85,34.4,235,146.38,0,3,27,21,1,234,110,24.571428571428573,31.272727272727273,1.9285714285714286,2.4545454545454546,1.5,1.9090909090909092,3,0.21428571428571427,0.2727272727272727,10,0.7857142857142857,0.5851063829787234,0.75,0.0,1,366.4507905572061
Sanju Samson,12,12,2,342,102,34.2,230,148.69,1,0,28,13,1,190,152,28.5,28.5,2.3333333333333335,2.3333333333333335,1.0833333333333333,1.0833333333333333,1,0.08333333333333333,0.08333333333333333,10,1.0,0.8,0.4482758620689655,0.5,1,346.1695851459407
Mayank Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,26,14,0,188,144,25.53846153846154,25.53846153846154,2.0,2.0,1.0769230769230769,1.0769230769230769,2,0.15384615384615385,0.15384615384615385,13,1.0,0.7384615384615385,0.5185185185185185,0.0,1,360.0849985417982
Steve Smith,12,10,2,319,73,39.87,275,116.0,0,3,30,4,1,144,175,26.583333333333332,31.9,2.5,3.0,0.3333333333333333,0.4,3,0.25,0.3,8,0.8333333333333334,0.7231404958677686,0.12903225806451613,0.0,1,352.654860225315
Jos Buttler,8,8,0,311,89,38.87,205,151.7,0,3,38,14,0,236,75,38.875,38.875,4.75,4.75,1.75,1.75,3,0.375,0.375,8,1.0,0.487012987012987,0.358974358974359,0.0,1,346.8437355402665
Shubman Gill,14,13,4,296,76,32.88,238,124.36,0,3,21,10,0,144,152,21.142857142857142,22.76923076923077,1.5,1.6153846153846154,0.7142857142857143,0.7692307692307693,3,0.21428571428571427,0.23076923076923078,9,0.9285714285714286,0.7307692307692307,0.45454545454545453,0.0,1,331.85226469637865
Ambati Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,20,7,0,122,160,16.58823529411765,16.58823529411765,1.1764705882352942,1.1764705882352942,0.4117647058823529,0.4117647058823529,1,0.058823529411764705,0.058823529411764705,12,1.0,0.5776173285198556,0.3333333333333333,0.0,1,384.84423291540924
Robin Uthappa,12,11,2,282,67,31.33,245,115.1,0,1,28,10,1,172,110,23.5,25.636363636363637,2.3333333333333335,2.5454545454545454,0.8333333333333334,0.9090909090909091,1,0.08333333333333333,0.09090909090909091,9,0.9166666666666666,0.5288461538461539,0.3448275862068966,0.0,1,329.6904228300044
Kieron Pollard,16,14,6,279,83,34.87,178,156.74,0,1,14,22,0,188,91,17.4375,19.928571428571427,0.875,1.0,1.375,1.5714285714285714,1,0.0625,0.07142857142857142,8,0.875,0.6363636363636364,1.4666666666666666,0.0,1,317.0982736416737
Dinesh Karthik,14,13,5,253,97,31.62,173,146.24,0,2,22,14,1,172,81,18.071428571428573,19.46153846153846,1.5714285714285714,1.6923076923076923,1.0,1.0769230769230769,2,0.14285714285714285,0.15384615384615385,8,0.9285714285714286,0.5869565217391305,0.6086956521739131,0.0,1,279.6113453200624
Vijay Shankar,15,14,2,244,40,20.33,193,126.42,0,0,11,12,1,116,128,16.266666666666666,17.428571428571427,0.7333333333333333,0.7857142857142857,0.8,0.8571428571428571,0,0.0,0.0,12,0.9333333333333333,0.7485380116959064,1.0,0.0,0,277.61485266033293
Moeen Ali,11,10,2,220,66,27.5,133,165.41,0,2,16,17,0,166,54,20.0,22.0,1.4545454545454546,1.6,1.5454545454545454,1.7,2,0.18181818181818182,0.2,8,0.9090909090909091,0.5346534653465347,1.0,0.0,1,242.72373981575416
David Miller,10,10,2,213,59,26.62,164,129.87,0,1,19,7,1,118,95,21.3,21.3,1.9,1.9,0.7,0.7,1,0.1,0.1,8,1.0,0.6834532374100719,0.35,0.0,1,223.52410794118134
Marcus Stoinis,10,10,6,211,46,52.75,156,135.25,0,0,14,10,1,116,95,21.1,21.1,1.4,1.4,1.0,1.0,0,0.0,0.0,4,1.0,0.7142857142857143,0.6666666666666666,0.0,0,216.30946484344895
Colin Ingram,12,12,2,184,47,18.4,154,119.48,0,0,20,5,0,110,74,15.333333333333334,15.333333333333334,1.6666666666666667,1.6666666666666667,0.4166666666666667,0.4166666666666667,0,0.0,0.0,10,1.0,0.5692307692307692,0.23809523809523808,0.0,0,191.79219898200338
Krunal Pandya,16,15,4,183,42,16.63,150,122.0,0,0,18,5,0,102,81,11.4375,12.2,1.125,1.2,0.3125,0.3333333333333333,0,0.0,0.0,11,0.9375,0.6328125,0.2631578947368421,0.0,0,195.81738567358462
Sarfaraz Khan,8,5,1,180,67,45.0,143,125.87,0,1,19,4,0,100,80,22.5,36.0,2.375,3.8,0.5,0.8,1,0.125,0.2,4,0.625,0.6611570247933884,0.2,0.0,1,192.2002989729744
Nicholas Pooran,7,6,0,168,48,28.0,107,157.0,0,0,10,14,0,124,44,24.0,28.0,1.4285714285714286,1.6666666666666667,2.0,2.3333333333333335,0,0.0,0.0,6,0.8571428571428571,0.5238095238095238,1.2727272727272727,0.0,0,180.54194686862297
Mandeep Singh,13,12,8,165,33,41.25,120,137.5,0,0,10,4,1,64,101,12.692307692307692,13.75,0.7692307692307693,0.8333333333333334,0.3076923076923077,0.3333333333333333,0,0.0,0.0,4,0.9230769230769231,0.9439252336448598,0.36363636363636365,0.0,0,172.2827607830858
Kedar Jadhav,14,12,3,162,58,18.0,169,95.85,0,1,19,3,0,94,68,11.571428571428571,13.5,1.3571428571428572,1.5833333333333333,0.21428571428571427,0.25,1,0.07142857142857142,0.08333333333333333,9,0.8571428571428571,0.4594594594594595,0.15,0.0,1,192.71035168763663
Riyan Parag,7,5,0,160,50,32.0,126,126.98,0,1,17,5,0,98,62,22.857142857142858,32.0,2.4285714285714284,3.4,0.7142857142857143,1.0,1,0.14285714285714285,0.2,5,0.7142857142857143,0.5904761904761905,0.2777777777777778,0.0,1,182.01276143982
Kane Williamson,9,9,2,156,70,22.28,130,120.0,0,1,12,5,1,78,78,17.333333333333332,17.333333333333332,1.3333333333333333,1.3333333333333333,0.5555555555555556,0.5555555555555556,1,0.1111111111111111,0.1111111111111111,7,1.0,0.6842105263157895,0.38461538461538464,0.0,1,171.9380689686266
Sunil Narine,12,9,1,143,47,17.87,86,166.27,0,0,17,9,0,122,21,11.916666666666666,15.88888888888889,1.4166666666666667,1.8888888888888888,0.75,1.0,0,0.0,0.0,8,0.75,0.3442622950819672,0.5,0.0,0,156.50824184389052
Rahul Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,13,2,0,64,77,17.625,20.142857142857142,1.625,1.8571428571428572,0.25,0.2857142857142857,1,0.125,0.14285714285714285,6,0.875,0.7403846153846154,0.14285714285714285,0.0,1,161.2414480557229
Ben Stokes,9,9,3,123,46,20.5,99,124.24,0,0,8,4,0,56,67,13.666666666666666,13.666666666666666,0.8888888888888888,0.8888888888888888,0.4444444444444444,0.4444444444444444,0,0.0,0.0,6,1.0,0.7613636363636364,0.4444444444444444,0.0,0,122.90889078727062
Mohammad Nabi,8,7,1,115,31,19.16,76,151.31,0,0,8,7,0,74,41,14.375,16.428571428571427,1.0,1.1428571428571428,0.875,1.0,0,0.0,0.0,6,0.875,0.6612903225806451,0.7777777777777778,0.0,0,105.8822527335057
Axar Patel,14,12,6,110,26,18.33,88,125.0,0,0,10,3,0,58,52,7.857142857142857,9.166666666666666,0.7142857142857143,0.8333333333333334,0.21428571428571427,0.25,0,0.0,0.0,6,0.8571428571428571,0.6842105263157895,0.2727272727272727,0.0,0,105.81837211586048
Ravindra Jadeja,16,9,6,106,31,35.33,88,120.45,0,0,7,4,1,52,54,6.625,11.777777777777779,0.4375,0.7777777777777778,0.25,0.4444444444444444,0,0.0,0.0,3,0.5625,0.6923076923076923,0.5,0.0,0,97.16504209778147
Ishan Kishan,7,6,0,101,28,16.83,100,101.0,0,0,8,4,0,56,45,14.428571428571429,16.833333333333332,1.1428571428571428,1.3333333333333333,0.5714285714285714,0.6666666666666666,0,0.0,0.0,6,0.8571428571428571,0.5056179775280899,0.4444444444444444,0.0,0,99.5724504715515
Yuvraj Singh,4,4,0,98,53,24.5,75,130.66,0,1,7,6,0,64,34,24.5,24.5,1.75,1.75,1.5,1.5,1,0.25,0.25,4,1.0,0.5396825396825397,0.75,0.0,1,103.49595703334882
Gurkeerat Mann Singh,3,3,0,98,65,32.66,70,140.0,0,1,11,2,0,56,42,32.666666666666664,32.666666666666664,3.6666666666666665,3.6666666666666665,0.6666666666666666,0.6666666666666666,1,0.3333333333333333,0.3333333333333333,3,1.0,0.7241379310344828,0.16666666666666666,0.0,1,102.40161095826352
Sam Curran,9,8,4,95,55,23.75,55,172.72,0,1,13,3,1,70,25,10.555555555555555,11.875,1.4444444444444444,1.625,0.3333333333333333,0.375,1,0.1111111111111111,0.125,4,0.8888888888888888,0.625,0.21428571428571427,0.0,1,92.62896200781593
Shimron Hetmyer,5,5,0,90,75,18.0,73,123.28,0,1,4,7,0,58,32,18.0,18.0,0.8,0.8,1.4,1.4,1,0.2,0.2,5,1.0,0.5079365079365079,1.4,0.0,1,92.56473362606627
Wriddhiman Saha,5,5,0,86,28,17.2,53,162.26,0,0,13,1,0,58,28,17.2,17.2,2.6,2.6,0.2,0.2,0,0.0,0.0,5,1.0,0.7,0.07142857142857142,0.0,0,82.71923892819842
Colin Munro,4,4,0,84,40,21.0,70,120.0,0,0,9,4,0,60,24,21.0,21.0,2.25,2.25,1.0,1.0,0,0.0,0.0,4,1.0,0.41379310344827586,0.4,0.0,0,87.14129850281918
Martin Guptill,3,3,0,81,36,27.0,53,152.83,0,0,4,7,0,58,23,27.0,27.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,2.3333333333333335,0,0.0,0.0,3,1.0,0.5348837209302325,1.4,0.0,0,88.7030776014055
Dwayne Bravo,12,9,4,80,27,16.0,66,121.21,0,0,6,3,0,42,38,6.666666666666667,8.88888888888889,0.5,0.6666666666666666,0.25,0.3333333333333333,0,0.0,0.0,5,0.75,0.6551724137931034,0.42857142857142855,0.0,0,82.33089961204331
Sherfane Rutherford,7,7,2,73,28,14.6,54,135.18,0,0,2,7,1,50,23,10.428571428571429,10.428571428571429,0.2857142857142857,0.2857142857142857,1.0,1.0,0,0.0,0.0,5,1.0,0.5,2.3333333333333335,0.0,0,67.36965656808863
Liam Livingstone,4,4,1,71,44,23.66,48,147.91,0,0,6,5,0,54,17,17.75,17.75,1.5,1.5,1.25,1.25,0,0.0,0.0,3,1.0,0.4473684210526316,0.7142857142857143,0.0,0,67.877299675821
Stuart Binny,8,5,2,70,33,23.33,40,175.0,0,0,5,4,1,44,26,8.75,14.0,0.625,1.0,0.5,0.8,0,0.0,0.0,3,0.625,0.8125,0.6666666666666666,0.0,0,59.97304626062778
Jofra Archer,11,5,3,67,27,33.5,40,167.5,0,0,4,4,1,40,27,6.090909090909091,13.4,0.36363636363636365,0.8,0.36363636363636365,0.8,0,0.0,0.0,2,0.45454545454545453,0.8181818181818182,0.8,0.0,0,58.00686216071462
Deepak Hooda,11,7,1,64,20,10.66,63,101.58,0,0,5,1,0,26,38,5.818181818181818,9.142857142857142,0.45454545454545453,0.7142857142857143,0.09090909090909091,0.14285714285714285,0,0.0,0.0,6,0.6363636363636364,0.6551724137931034,0.16666666666666666,0.0,0,63.49982953000085
Murali Vijay,2,2,0,64,38,32.0,61,104.91,0,0,6,1,0,30,34,32.0,32.0,3.0,3.0,0.5,0.5,0,0.0,0.0,2,1.0,0.6181818181818182,0.14285714285714285,0.0,0,72.1490919635942
Shreyas Gopal,14,7,3,63,19,15.75,46,136.95,0,0,8,1,1,38,25,4.5,9.0,0.5714285714285714,1.1428571428571428,0.07142857142857142,0.14285714285714285,0,0.0,0.0,4,0.5,0.6578947368421053,0.1111111111111111,0.0,0,57.089261735327995
Akshdeep Nath,8,5,0,61,24,12.2,57,107.01,0,0,5,2,0,32,29,7.625,12.2,0.625,1.0,0.25,0.4,0,0.0,0.0,5,0.625,0.5686274509803921,0.3333333333333333,0.0,0,60.701160156940816
Evin Lewis,3,3,0,48,32,16.0,52,92.3,0,0,4,2,0,28,20,16.0,16.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,0,0.0,0.0,3,1.0,0.425531914893617,0.4,0.0,0,36.16100692609078
Colin de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,4,2,0,28,18,11.5,11.5,1.0,1.0,0.5,0.5,0,0.0,0.0,3,1.0,0.4090909090909091,0.4,0.0,0,31.18728902531413
Piyush Chawla,13,5,2,42,14,14.0,37,113.51,0,0,4,2,1,28,14,3.230769230769231,8.4,0.3076923076923077,0.8,0.15384615384615385,0.4,0,0.0,0.0,3,0.38461538461538464,0.4375,0.4,0.0,0,24.080812076553286
Ravichandran Ashwin,14,6,1,42,17,8.4,28,150.0,0,0,3,3,1,30,12,3.0,7.0,0.21428571428571427,0.5,0.21428571428571427,0.5,0,0.0,0.0,5,0.42857142857142855,0.5217391304347826,0.75,0.0,0,24.904627821130305
Shivam Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3,0,22,18,10.0,10.0,0.25,0.25,0.75,0.75,0,0.0,0.0,3,1.0,0.6,1.5,0.0,0,21.66787955405755
Yusuf Pathan,10,8,5,40,16,13.33,45,88.88,0,0,1,1,1,10,30,4.0,5.0,0.1,0.125,0.1,0.125,0,0.0,0.0,3,0.8,0.6818181818181818,0.5,0.0,0,24.299252702315783
Rinku Singh,5,3,1,37,30,18.5,34,108.82,0,0,1,2,0,16,21,7.4,12.333333333333334,0.2,0.3333333333333333,0.4,0.6666666666666666,0,0.0,0.0,2,0.6,0.65625,1.0,0.0,0,19.048463264427113
Rashid Khan,15,8,3,34,17,6.8,23,147.82,0,0,2,2,1,20,14,2.2666666666666666,4.25,0.13333333333333333,0.25,0.13333333333333333,0.25,0,0.0,0.0,5,0.5333333333333333,0.7,0.6666666666666666,0.0,0,23.091649515809905
Chris Morris,9,6,0,32,17,5.33,37,86.48,0,0,1,2,0,16,16,3.5555555555555554,5.333333333333333,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.3333333333333333,0,0.0,0.0,6,0.6666666666666666,0.45714285714285713,1.0,0.0,0,21.05904662640586
Mitchell Santner,4,2,1,32,22,32.0,23,139.13,0,0,0,3,0,18,14,8.0,16.0,0.0,0.0,0.75,1.5,0,0.0,0.0,1,0.5,0.6666666666666666,3.0,0.0,0,16.001518348366147
Rahul Tewatia,5,4,3,26,11,26.0,22,118.18,0,0,2,1,1,14,12,5.2,6.5,0.4,0.5,0.2,0.25,0,0.0,0.0,1,0.8,0.6,0.3333333333333333,0.0,0,9.441396726395226
Umesh Yadav,11,7,5,25,14,12.5,25,100.0,0,0,3,1,0,18,7,2.272727272727273,3.5714285714285716,0.2727272727272727,0.42857142857142855,0.09090909090909091,0.14285714285714285,0,0.0,0.0,2,0.6363636363636364,0.3181818181818182,0.25,0.0,0,15.570314957736286
Amit Mishra,11,4,2,21,8,10.5,24,87.5,0,0,2,0,0,8,13,1.9090909090909092,5.25,0.18181818181818182,0.5,0.0,0.0,0,0.0,0.0,2,0.36363636363636365,0.5652173913043478,0.0,0.0,0,7.4451058764474
Harpreet Brar,2,1,1,20,20,0.0,12,166.66,0,0,2,1,1,14,6,10.0,20.0,1.0,2.0,0.5,1.0,0,0.0,0.0,0,0.5,0.6,0.3333333333333333,0.0,0,13.575334187650384
Prayas Ray Barman,1,1,0,19,19,19.0,24,79.16,0,0,2,0,0,8,11,19.0,19.0,2.0,2.0,0.0,0.0,0,0.0,0.0,1,1.0,0.4782608695652174,0.0,0.0,0,12.48984131832205
Keemo Paul,8,6,1,18,7,3.6,24,75.0,0,0,1,1,0,10,8,2.25,3.0,0.125,0.16666666666666666,0.125,0.16666666666666666,0,0.0,0.0,5,0.75,0.34782608695652173,0.5,0.0,0,11.55548915998125
Ben Cutting,3,3,1,18,13,9.0,17,105.88,0,0,1,1,1,10,8,6.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,0.0,2,1.0,0.5,0.5,0.0,0,3.877879160392098
Krishnappa Gowtham,7,4,1,18,9,6.0,19,94.73,0,0,1,1,0,10,8,2.5714285714285716,4.5,0.14285714285714285,0.25,0.14285714285714285,0.25,0,0.0,0.0,3,0.5714285714285714,0.4444444444444444,0.5,0.0,0,6.8706552802022145
Simran Singh,1,1,0,16,16,16.0,17,94.11,0,0,1,1,0,10,6,16.0,16.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1,1.0,0.375,0.5,0.0,0,10.921730214141093
Alzarri Joseph,3,2,2,15,15,0.0,13,115.38,0,0,2,0,1,8,7,5.0,7.5,0.6666666666666666,1.0,0.0,0.0,0,0.0,0.0,0,0.6666666666666666,0.5833333333333334,0.0,0.0,0,1.020301838891669
Siddhesh Lad,1,1,0,15,15,15.0,13,115.38,0,0,1,1,0,10,5,15.0,15.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1,1.0,0.4166666666666667,0.5,0.0,0,10.560040419404345
Shardul Thakur,10,3,1,14,12,7.0,7,200.0,0,0,1,1,1,10,4,1.4,4.666666666666667,0.1,0.3333333333333333,0.1,0.3333333333333333,0,0.0,0.0,2,0.3,0.6666666666666666,0.5,0.0,0,3.117677339919993
Kagiso Rabada,12,4,1,14,9,4.66,15,93.33,0,0,0,1,0,6,8,1.1666666666666667,3.5,0.0,0.0,0.08333333333333333,0.25,0,0.0,0.0,3,0.3333333333333333,0.5333333333333333,1.0,0.0,0,3.9589025452112594
Bhuvneshwar Kumar,15,5,2,12,7,4.0,19,63.15,0,0,1,0,1,4,8,0.8,2.4,0.06666666666666667,0.2,0.0,0.0,0,0.0,0.0,3,0.3333333333333333,0.42105263157894735,0.0,0.0,0,2.9541455660413476
Kuldeep Yadav,9,4,2,12,10,6.0,8,150.0,0,0,1,0,1,4,8,1.3333333333333333,3.0,0.1111111111111111,0.25,0.0,0.0,0,0.0,0.0,2,0.4444444444444444,1.0,0.0,0.0,0,-0.11360222405519949
Rahul Chahar,13,4,2,12,10,6.0,11,109.09,0,0,2,0,0,8,4,0.9230769230769231,3.0,0.15384615384615385,0.5,0.0,0.0,0,0.0,0.0,2,0.3076923076923077,0.4,0.0,0.0,0,2.530753984157286
Mitchell McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,2,0,0,8,3,2.2,2.75,0.4,0.5,0.0,0.0,0,0.0,0.0,3,0.8,0.2,0.0,0.0,0,3.739225622607819
Carlos Brathwaite,2,2,0,11,6,5.5,10,110.0,0,0,1,0,0,4,7,5.5,5.5,0.5,0.5,0.0,0.0,0,0.0,0.0,2,1.0,0.7,0.0,0.0,0,0.2250383374477849
Ishant Sharma,13,3,3,10,10,0.0,3,333.33,0,0,1,1,1,10,0,0.7692307692307693,3.3333333333333335,0.07692307692307693,0.3333333333333333,0.07692307692307693,0.3333333333333333,0,0.0,0.0,0,0.23076923076923078,0.0,0.5,0.0,0,9.004630938190047
Shakib Al Hasan,3,1,0,9,9,9.0,10,90.0,0,0,0,0,0,0,9,3.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.3333333333333333,0.8181818181818182,0.0,0.0,0,-1.449762518812264
Pawan Negi,7,4,0,9,5,2.25,12,75.0,0,0,1,0,0,4,5,1.2857142857142858,2.25,0.14285714285714285,0.25,0.0,0.0,0,0.0,0.0,4,0.5714285714285714,0.4166666666666667,0.0,0.0,0,1.38323473265703
Tim Southee,3,1,1,9,9,0.0,9,100.0,0,0,0,0,1,0,9,3.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.3333333333333333,0.9,0.0,0.0,0,-3.541836431000945
